id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jenis_kriminalitas,jumlah_tindak_pidana,satuan,tahun
135,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BIASA,154,KASUS,2022
136,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA RINGAN,58,KASUS,2022
137,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA BERAT,223,KASUS,2022
138,32,JAWA BARAT,3273,KOTA BANDUNG,PENIPUAN,634,KASUS,2022
139,32,JAWA BARAT,3273,KOTA BANDUNG,PENGGELAPAN,263,KASUS,2022
140,32,JAWA BARAT,3273,KOTA BANDUNG,PERAS / ANC.KERAS,12,KASUS,2022
141,32,JAWA BARAT,3273,KOTA BANDUNG,PENGRUSAKAN,16,KASUS,2022
142,32,JAWA BARAT,3273,KOTA BANDUNG,PEMBUNUHAN,7,KASUS,2022
143,32,JAWA BARAT,3273,KOTA BANDUNG,PERKOSAAN,9,KASUS,2022
144,32,JAWA BARAT,3273,KOTA BANDUNG,PERZINAHAN,5,KASUS,2022
145,32,JAWA BARAT,3273,KOTA BANDUNG,PENCULIKAN,0,KASUS,2022
146,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MATA UANG,1,KASUS,2022
147,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN SURAT,14,KASUS,2022
148,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MERK,0,KASUS,2022
149,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPAH PALSU,0,KASUS,2022
150,32,JAWA BARAT,3273,KOTA BANDUNG,PERJUDIAN,1,KASUS,2022
151,32,JAWA BARAT,3273,KOTA BANDUNG,PENGHINAAN,10,KASUS,2022
152,32,JAWA BARAT,3273,KOTA BANDUNG,PENADAHAN,2,KASUS,2022
153,32,JAWA BARAT,3273,KOTA BANDUNG,KORUPSI,1,KASUS,2022
154,32,JAWA BARAT,3273,KOTA BANDUNG,"SENPI, HANDAK, SAJAM",36,KASUS,2022
155,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN KRIMINALITAAS,644,KASUS,2022
156,32,JAWA BARAT,3273,KOTA BANDUNG,NARKOTIKA,0,KASUS,2022
